D000069856,C12.950.419.600.500.500
D000069856,C12.950.967.249.500.500
D000069856,C12.950.967.500.503.500
D000069856,C23.300.175.850.550.500
D000070558,C05.330.488.655
D000070558,C05.330.495.681
D000070558,C05.660.585.512.380.813
D000070558,C16.131.621.585.512.500.681
D000070589,C05.330.488.655.500
D000070589,C05.330.495.681.500
D000070589,C05.660.585.512.380.813.500
D000070589,C16.131.621.585.512.500.681.500
D000070591,C05.330.663
D000070592,C05.330.711
D000070598,C26.558.554.213
D000070599,C26.803
D000070600,C26.558.781
D000070603,C05.116.296
D000070604,C05.116.099.370.894.909
D000070604,C05.330.495.787
D000070604,C05.660.585.512.380.875
D000070604,C05.660.906.909
D000070604,C16.131.621.585.512.500.787
D000070604,C16.131.621.906.909
D000070607,C05.360.500.500
D000070607,C05.550.610.500
D000070607,C10.668.829.600.375
D000070607,C23.888.592.612.540.500
D000070607,C23.888.592.612.664.275
D000070617,C26.599
D000070624,C10.228.140.199.444.375
D000070624,C10.900.300.087.235.375
D000070624,C26.915.300.200.194.375
D000070624,C26.974.250.500
D000070625,C10.228.140.199.388
D000070625,C10.900.300.087.219
D000070625,C26.915.300.200.188
D000070627,C10.228.140.199.444.500
D000070627,C10.228.140.199.500.500
D000070627,C10.574.250
D000070627,C10.900.300.087.235.500
D000070627,C10.900.300.087.250.500
D000070627,C23.550.291.500.063.500.500
D000070627,C26.915.300.200.194.500
D000070627,C26.915.300.200.200.500
D000070630,C05.550.518.288
D000070630,C26.289.288
D000070631,C05.550.518.192
D000070631,C26.289.192
D000070636,C26.761.340
D000070636,C26.803.063
D000070636,C26.874.400
D000070639,C05.651.869.435
D000070639,C26.874.800.500
D000070642,C10.228.140.199.444
D000070642,C10.900.300.087.235
D000070642,C26.915.300.200.194
D000070656,C05.550.114.264.500
D000070656,C05.550.354.250
D000070657,C05.550.354
D000070676,C05.651.869.653
D000070676,C26.874.800.750
D000070779,C04.557.450.565.380.690
D000070779,C05.550.870.445
D000070779,C05.651.869.762
